"","20.0027.DNA","20.0027.RNA","20.0030.DNA","20.0030.RNA","20.0036.DNA","20.0036.RNA","20.0048.RNA","20.0052.DNA","20.0052.RNA","20.0071.DNA","20.0071.RNA","20.0078.DNA","20.0078.RNA","20.0095.DNA","20.0095.RNA","20.0103.DNA","20.0103.RNA","20.0115.DNA","20.0115.RNA","20.0123.DNA","20.0123.RNA","20.0140.DNA","20.0140.RNA","20.0143.DNA","20.0143.RNA","20.0148.DNA","20.0148.RNA","20.0150.DNA","20.0150.RNA","20.0166.DNA","20.0166.RNA","20.0171.DNA","20.0171.RNA","20.0180.RNA","20.0186.DNA","20.0210.DNA","20.0210.RNA","20.0219.DNA","20.0219.RNA","20.0224.DNA","20.0224.RNA","20.0226.DNA","20.0226.RNA","20.0235.DNA","20.0235.RNA","20.0240.DNA","20.0240.RNA","20.0250.DNA","20.0250.RNA","20.0255.DNA","20.0255.RNA","20.0256.DNA","20.0256.RNA","20.0283.DNA","20.0283.RNA","20.0290.DNA","20.0290.RNA","20.0311.DNA","20.0311.RNA","20.0324.DNA","20.0324.RNA","20.0327.DNA","20.0327.RNA","20.0331.DNA","20.0331.RNA","20.0335.DNA","20.0335.RNA","20.0351.DNA","20.0351.RNA","20.0360.DNA","20.0362.DNA","20.0400.DNA","20.0400.RNA","20.0418.DNA","20.0418.RNA","20.0425.DNA","20.0425.RNA","20.0426.DNA","20.0426.RNA","20.0442.DNA","20.0442.RNA","20.0454.DNA","20.0454.RNA","20.0466.DNA","20.0466.RNA","20.0474.DNA","20.0474.RNA","20.0479.DNA","20.0479.RNA","20.0503.DNA","20.0503.RNA","20.0506.DNA","20.0506.RNA","20.0515.DNA","20.0515.RNA","20.0524.DNA","20.0524.RNA","20.0536.RNA","20.0538.DNA","20.0538.RNA","20.0543.DNA","20.0543.RNA","20.0564.DNA","20.0564.RNA","20.0578.DNA","20.0578.RNA","20.0583.DNA","20.0583.RNA","20.0593.DNA","20.0593.RNA","20.0599.DNA","20.0599.RNA","20.0608.DNA","20.0608.RNA","20.0611.DNA","20.0611.RNA","20.0618.DNA","20.0618.RNA","20.0623.DNA","20.0623.RNA","20.0626.DNA","20.0626.RNA","20.0632.RNA"
"OTU826","  0"," 18","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 41","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 14"," 12","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 30","  9","  0","  0"," 12","  0","  0","  0","  0","  0","  0","278","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","142"," 13"
"OTU827"," 0"," 0"," 0","42"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","27"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","43"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 8"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"OTU828","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","232","  0","  0","  0"
"OTU829","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 33","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 43","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","338","  0","  0","  0","  0"
"OTU830"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","16"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","16"," 0"," 0"," 0"," 0"," 0"," 0","43"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","36"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 8"," 0"," 0"," 0"," 0"
"OTU831","   0","   0","   0","   0","   0","  30","   0","   0","   0","   0","   0","   0","   0","  23","  87"," 993","   0","   0","   0","   0","   0","   0","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1087","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 417","   0","  19","  38","   0","   0","   0","   0","   0","   0","   0"," 468","   0"," 108","   0","1254","   0","   0","   0","   0","   0"," 191","   0","   0","   0","   0","   0"," 405","   0","   0","   0","   0","   0","   0","   0","   0","  18","   0","   0","   0"," 192"," 134","   0","   0","   0","   0","   0","   0","   0"," 973","   0","   0"," 130","1047","  22","   0","   0"," 312","   0","   0","   0"," 277","   0","   0","   0","   0"," 478","   0"," 146","   0","   0","   0","   0","   0","   0","   0","   0","  67"," 561","   0"
"OTU832","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 18","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 14","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","210"," 31","  0","  0","  0","  0","  0","  0"," 17","  0"," 40","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 32","  8","  0","  0","  0","  0","  0","  0"," 34","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 55","  0","  0","  0","  0","  0"
"OTU833"," 0"," 0"," 0"," 0"," 0"," 0"," 6","16"," 0"," 0"," 0"," 0"," 0"," 0"," 0","11"," 0"," 0"," 0","18"," 0"," 2"," 6"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","11"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","33"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","39"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 0"
"OTU834","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 39","  0","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 95","  0","  0","  0","  0","482","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0"," 28","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"OTU835"," 28","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 15","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","976","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 52","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"OTU836","  206","   34","28461"," 1225","    0"," 2845","    0","    0","    0","   51","  211","    0","  460","   70","   30"," 6562","   24","    0"," 8647","   27","    0","  162","  108","    0","    0","   84","    0","   16","   38","    0","    3","   11","    0","   45","    0","    0","    0","  428","   79","  277","    0","   18"," 2177"," 2128","    0","   36"," 6002"," 3542","    0","    0","    0","    0","    0","   30","   34","  498","   96","    0"," 3501","   40","    0","15323","    0","    0","    0","22621"," 2144","    0","    0","   41","21818","    0"," 6110","   36","   32","    0","   37"," 8909","    0","   25","    0"," 7525","   18","  113","   55"," 1228","    0","    0","   46","    0","    0","16766","  138","    0","    7","11674","   48","   10","  126","    0","  418","  480","   16","    0"," 2828"," 4443","   22","   50","   56"," 4045","    0","  511","    0","    0","   62"," 2290","   19","    0","   16","  176","  125"," 6108","    0"
"OTU837"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 7"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","17"," 0"," 0"," 0"," 0"," 0","34"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","55"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"OTU838","   0"," 156"," 552","   0"," 103"," 106","1264"," 324"," 252","  36"," 581","  49","   0"," 238","  16","1930"," 918","   0"," 170"," 951"," 141","2528"," 817","   0","  46","3706"," 186","   0","   0","2268"," 250","   0"," 935"," 490"," 884","   0"," 680"," 506","   0"," 951"," 157"," 196"," 386","4574","   0"," 889","1217"," 448","1494","   0"," 916","3594","2998"," 477"," 272","   0","  58","   0","1763"," 171","   0"," 556","   0","   0"," 427","   0","  52"," 667","1672"," 559"," 376","1340"," 383","  56"," 161","   0","1337","  24","   0","  33","  87","   0","   0"," 480","  81","   0"," 321"," 966","  92","   0"," 498"," 248"," 109","   0"," 446","   0","  76","  49","   0","   0"," 324","   0","   0"," 358"," 359","   0","1467"," 144"," 258"," 157"," 622"," 751","   0","   0","   0"," 292","   0"," 137","   0","  44"," 111"," 369"," 607"
"OTU839","  0","  0","111","  0","  0","  0","  0","  4","  0","  0","  0"," 14","  0"," 14","  0","103","  0","  0","  0"," 29","  0"," 39"," 22","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0"," 31","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  6","  0","  0","  0","  0","  0","255","  0","  0","  0","  0"," 44","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  6"," 38","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  9","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  2","  0","  0","  0"," 16","  0","  0"," 52","  5","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 27","  0","  0","  0","  0"
"OTU840","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","129","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","127","  0","  0","  0","  0","  0","  0","  0"," 52","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"OTU841","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","245","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","231","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 44","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"OTU842"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","52"," 0"," 0"," 5"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","19","59"," 0"," 0"," 0"," 0"," 7"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"OTU843","  0","  0","  0","  0","  0","  7","  7","  0"," 91","  0"," 33","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","160","  0","  0","  0","  0","160","  0"," 28","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 85","  0"," 30","  0"," 14","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 44","  0","  0","  0","121","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"OTU844"," 47","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 44","  0"," 65","  0"," 48","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 93","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","897","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","198","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"OTU845","   27","   99","   65","    0","    0","    0","  506","    0"," 1760","  545"," 2935","    0","    0","  367","    0","  423"," 3388","    0","    0"," 4327","    0","10311","  245","    0","    0","31693","    0","    0","    0"," 6942"," 1128","    0"," 2247","    0"," 2362","    0","    0"," 1643","    0","  653","  483","    0"," 3692","  962","    0","  457","    0"," 6037","14538","    0"," 3349","18895"," 7495","  565","    0","   21","    0","    0","  629"," 1196","    0","  131","    0","    0","  219","    0","    0"," 2276","   92"," 8294","   36"," 1805","    0","    0","  812","   11"," 8420","    0","    0","    0","  282","    0","    0","   56","    0","    0","    0"," 6834","  509","  270"," 2239","  721","  651","    0","  712","    0","  270","    0","    0","    0","  776","    0","    0","  168","  126","    0"," 9966","  248","  846","    0","  507","  255","    0","    0","    0","    0","   23","  275","    0","  211","    0","  177"," 2819"
"OTU846"," 469","   0","   0","   0","  31","   5","   0","   0","  38","   0","   0","   0","  10","  30","   0","  17"," 117","   0","   0"," 207","   0"," 512","   0","   0","   0","   0","   0","  26","   0"," 132","   0","   0","   0","   0","  52","   0","   0","   0"," 359","  19","   0","   0","   0","  18","   0","   0","   0","   0","  65","   0","  93","   0","   0","   0","   0","  38","   0","   0","   0","   0","1053","   0","   0","   0","   0"," 152","   0","  15","  12","   0","  26","   0","   0","   0","   0","   0","  18","   0","   0","  15","   0"," 471","   0","   4","   0","  28","   0"," 160","   0","   0","   6","   0","   0","   0","   7","4891"," 198","   0"," 610","   0","  26","   0","   0","   0","   0","  66","  47","   0","  33","   0","   0","  34","   0","   0","  83","   0","   0","   0","   0","   0","   0","1065"," 110"
"OTU847","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","110","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"OTU848","  0","  0","  0","  0","  0","  0","  0","  0"," 18","  0"," 59","  0","  0","  0","  0","  0","  0","  0","  0"," 68","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 30","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 49","  0","  0","  0","  0","  0"," 68","  0","  0","  0","  0","  0","  0","  0"," 11","  0","  0","  0","  0","  0"," 20","  0","  0","  0","  0","  0","  0"," 23","  0","  0"," 60","  0","  0","  0","  0","  0","  0"," 20","  0"," 87","  0","  0","  0","  0","  0","  0"," 45","  0","  0","  0","  0","  0","  0","136","  0","  0"
"OTU849","   0","   0","  21","   0","   0"," 819"," 133"," 173","   0","   0","   0","  30","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 188","1311","   0","   0","   0","   0","   0","   0"," 101","   0","   0","   0","   0","   0","   0"," 519","   0","   0","   0","   0","   0"," 394","   0","   0","  39","   0"," 379","   0","   0","  37","  36","  21","   0"," 296","   0","   0","   0","  27","  47","   0","2095"," 585","   0","   0","   0","   0"," 161","   0","  27","   0","  60","4053","1641","   0","   0","  63","   0","   0","   0","   0","   0","   0","  16","   0","   0","   0"," 314"," 196","   0"," 514","   0","   0","   0"," 367","   0","   0","   0","   0","   0","   0","   0","   0","   0","  20","   0","   0","   0"," 398","   0","   0","   0","   0","1782","   0","   0","   0","   0"," 129","   0","  24","   0"," 229"
"OTU850","   0","   0","   0","   0","   0","   0","  45","   0","1021","   0"," 723","   0","   0","   0","   0"," 967","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 915","   0","   0","   0","  34","   0","   0","   0","  62","  26","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 213","   0","   0","   0","   0","   0","   0","   0","   0","   0","1527","  93","   0","   0","   0","   0","   0","   0","   0","1223","   0","   0"," 200","   0","   0","   0","   0","   0","   0","  46","   0","   0","  66","   0","   0","   0","   0","   0","   0","   0"," 299","   0","   0","   0","   0","   0","2050","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 398","   0","  68"," 380","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"OTU851","    0","24813","  549","  630","    0","  801"," 1685","  485"," 2030","  463"," 9372","   89","    0","  257","   37","  243"," 3696","    0"," 1775"," 1629","  256"," 6837"," 2963","    0","   85"," 5066","  266","   97","   96","  897","  214","   37"," 1109","  231","  619","    0","  262"," 7205","    0","36346"," 1332","  327"," 1962","  998","  172","  178","  108"," 2211"," 2871","    0"," 1218"," 2918"," 2340"," 1234","  519","   69","  472","   75","  324","  139","    0"," 4830","  522","    0","  879","  530","  321"," 1091","  195"," 2094"," 1105","  589"," 2956","  982"," 2316","    0"," 4053"," 2151","    0","  123","  233"," 4439","    0","  908","  110","  886","    0"," 6721"," 2911","  981"," 4428"," 1134","  689","    0"," 1127"," 3791"," 2064","    0"," 2320","  194","  599","  100","    0"," 1972"," 1843"," 1586","28765","  244"," 3772","  787"," 1675","  515","    0","  674","  116","  196","    0","  237","  235","  243","  178"," 6227"," 4937"
"OTU852","  0","  0","  0","  0","  0","  0","247","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","800","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","279","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","142","  0","  0","  0","  0"
"OTU853","   0","   0","   0","   0","   0","   0","   0","   0","   0","  74","   0","   0","   0","   0","   0","   0","   0","   0","   0","  72","  62"," 330"," 115","   0","   0","  33","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 145","   0","   0","   0","   0","  31","   0","   0"," 216","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 265","   0","   0","   0","   0","   0","   0"," 106","   0"," 426"," 379","  45"," 137","   0","   0","   0","   0","   0","   0","   0","   0","   0","  73","   0","   0","   0"," 412","   0","1207","   0","   0","   0","   0","  74","   0","   0","   0","   0","   0"," 123","   0","   0","1662","  79","   0","   0","   0","  85"," 129"," 120","   0","   0","   0","   0","   0","   0","  37","   0","   0","   0"," 103"," 339"
"OTU854"," 172"," 194","1100"," 142","  86","   0","3510"," 295","3879","1557","  44","  88"," 182"," 567","   0","   0"," 394","   0","  26"," 426"," 637","1399"," 477","   0","  91"," 785","   0"," 586"," 221"," 504","  84","   8"," 209","6428"," 671","   0","   0"," 864","   0"," 269"," 977"," 198"," 557"," 231"," 149"," 662","  27"," 422"," 621","   0"," 346","1184"," 949"," 355","   0"," 433","  51","   0"," 163"," 212","   0"," 164","   0","   0"," 140"," 528"," 464"," 175","1895"," 372"," 197","3562"," 162"," 179"," 302","   0"," 706","   0","   0","  50","   0","1827","  50"," 106","  28"," 360","   0"," 446"," 395"," 590"," 712"," 412"," 878","   0"," 279","  22"," 975","   0"," 332","   0","1581","   0","   0","2697"," 253"," 276"," 342","  45"," 282","  65","1689"," 114","   0","  61","2180","  23","   0"," 240","  27","1140"," 267"," 226"," 444"
"OTU855","   0","   0","   0","   0","   0","  18","   0","   0","   0","   0"," 202","   0"," 228","   0","   0","   0"," 251","   0","   0","   0","   0"," 124","   0","   0","   0","  24","   0"," 209","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  63","   0"," 242","   0","   0"," 162","   0","   0","   0","   0","   0","   0","   0"," 147","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  18","   0","  74","   0","   0","   0","   0","   0","   0"," 652","   0","   0","   0","   0","  67","   0","   0","   0","   0","   0"," 637","   0","   0","   0","   0","   0","   0","  20","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  93","  54","   0","   0","  27","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1046"," 400"
"OTU856","  0","  0","  0","196","  0","  0","  0","  0","  0","  0","  0","  0","526","  0","  0"," 16","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 11","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","439"," 12","  0","  0","  0","  0","  0","  0","  0","  0"," 81","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","208","  0","  0","  0","  0","  0","  0"," 12","  0","  0","641"," 61","  0","173","  0"," 53","361","  0","  0"," 23"," 22","  0","  0","  0","  0","  0","  0","  0","  0","  0","124","  0","  0","  0","  0","  0","  0","  0"
